Timestamp,EX1_FAN_IN_RH_ITL_ETL,EX1_FAN_IN_TEMP_ITL_ETL,EX1_FAN_OUT_RH_ITL_ETL,EX1_FAN_OUT_TEMP_ITL_ETL,FA1_FAN_IN_RH_ITL_ETL,FA1_FAN_IN_TEMP_ITL_ETL,FA1_FAN_OUT_RH_ITL_ETL,FA1_FAN_OUT_TEMP_ITL_ETL,class
21-03-2018 08:56:00,53.78,25.77,52.09,27.35,48.26,26.86,51.55,26.56,6
21-03-2018 08:55:00,53.78,25.8,52.14,27.36,48.5,26.87,51.5,26.55,6
21-03-2018 08:54:00,53.78,25.8,52.2,27.38,48.63,26.87,51.46,26.58,6
21-03-2018 08:53:00,53.75,25.8,52.24,27.39,48.97,26.86,51.4,26.56,6
21-03-2018 08:52:00,53.75,25.75,52.14,27.4,49.17,26.89,51.37,26.57,6
21-03-2018 08:51:00,53.78,25.78,52,27.41,49.2,26.89,51.34,26.59,6
21-03-2018 08:50:00,53.78,25.81,52.03,27.38,49.07,26.9,51.29,26.62,6
21-03-2018 08:49:00,53.78,25.81,51.91,27.46,48.97,26.93,51.23,26.63,6
21-03-2018 08:48:00,53.78,25.79,52.03,27.5,48.83,26.95,51.23,26.63,6
21-03-2018 08:47:00,53.78,25.81,51.85,27.48,48.79,26.96,51.17,26.63,6
21-03-2018 08:46:00,53.75,25.8,51.64,27.52,48.73,26.98,51.11,26.65,6
21-03-2018 08:45:00,53.75,25.77,51.58,27.54,48.62,26.98,51.04,26.65,6
21-03-2018 08:44:00,53.75,25.81,51.5,27.56,48.46,26.99,50.97,26.67,6
21-03-2018 08:43:00,53.75,25.81,51.43,27.57,48.28,27.02,50.94,26.69,6
21-03-2018 08:42:00,53.75,25.81,51.4,27.6,48.05,27.04,50.87,26.73,6
21-03-2018 08:41:00,53.75,25.82,51.37,27.64,47.89,27.08,50.8,26.73,6
21-03-2018 08:40:00,53.75,25.81,51.34,27.66,47.89,27.09,50.74,26.75,6
21-03-2018 08:39:00,53.75,25.82,51.29,27.68,47.85,27.11,50.7,26.76,6
21-03-2018 08:38:00,53.73,25.83,51.29,27.7,47.79,27.09,50.6,26.76,6
21-03-2018 08:37:00,53.73,25.85,51.26,27.71,47.72,27.11,50.53,26.79,6
21-03-2018 08:36:00,53.73,25.83,51.23,27.73,47.55,27.12,50.5,26.8,6
21-03-2018 08:35:00,53.73,25.83,51.2,27.77,47.52,27.11,50.43,26.82,6
21-03-2018 08:34:00,53.73,25.86,51.16,27.78,47.48,27.13,50.4,26.85,6
21-03-2018 08:33:00,53.73,25.84,51.13,27.79,47.41,27.13,50.33,26.86,6
21-03-2018 08:32:00,53.73,25.85,51.09,27.82,47.34,27.16,50.23,26.88,6
21-03-2018 08:31:00,53.73,25.85,51.06,27.81,47.28,27.14,50.16,26.89,6
21-03-2018 08:30:00,53.73,25.9,51.03,27.89,47.21,27.19,50.13,26.91,6
21-03-2018 08:29:00,53.73,25.87,50.99,27.88,47.18,27.19,50.06,26.92,6
21-03-2018 08:28:00,53.7,25.87,50.99,27.91,47.11,27.22,49.99,26.95,6
21-03-2018 08:27:00,53.67,25.87,50.96,27.91,47.01,27.2,49.95,26.95,6
21-03-2018 08:26:00,53.67,25.89,50.96,27.94,46.91,27.24,49.89,26.98,6
21-03-2018 08:25:00,53.67,25.92,50.95,27.98,46.88,27.26,49.82,26.99,6
21-03-2018 08:24:00,53.64,25.91,50.95,27.99,46.77,27.26,49.75,27,6
21-03-2018 08:23:00,53.61,25.91,50.98,28,46.76,27.29,49.72,27.05,6
21-03-2018 08:22:00,53.61,25.92,50.98,28.03,46.7,27.31,49.65,27.04,6
21-03-2018 08:21:00,53.55,25.92,51.05,28.04,46.67,27.32,49.55,27.07,6
21-03-2018 08:20:00,53.52,25.9,51.12,28.04,46.67,27.32,49.48,27.09,6
21-03-2018 08:19:00,53.49,25.9,51.15,28.07,46.76,27.36,49.38,27.1,6
21-03-2018 08:18:00,53.46,25.91,51.22,28.1,46.83,27.4,49.4,27.12,6
21-03-2018 08:17:00,53.46,25.93,51.31,28.12,46.83,27.42,49.37,27.13,6
21-03-2018 08:16:00,53.43,25.91,51.34,28.19,46.89,27.42,49.31,27.15,6
21-03-2018 07:30:00,52.69,26.01,47.65,30.17,42.44,30.21,50.16,28.45,1
21-03-2018 07:29:00,52.72,25.74,47.58,29.4,42.3,30.18,50.16,28.3,1
21-03-2018 07:28:00,52.69,25.88,47.38,29.44,42,30.28,49.99,28.22,1
21-03-2018 07:27:00,52.64,25.53,47.21,29.66,41.79,30.29,49.93,28.27,1
21-03-2018 07:26:00,52.82,25.65,47.25,30.1,41.68,30.45,50.04,28.36,1
21-03-2018 07:25:00,52.96,25.61,47.34,30.16,41.75,30.44,50.17,28.32,1
21-03-2018 07:24:00,53.08,25.59,47.31,29.85,41.52,30.35,50.24,27.98,1
21-03-2018 07:23:00,53.17,25.55,47.31,29.66,41.45,30.22,50.27,28.3,1
21-03-2018 07:22:00,53.29,25.66,47.25,29.73,41.38,30.43,50.27,28.27,1
21-03-2018 07:21:00,53.49,25.62,47.41,29.71,41.52,30.35,50.48,27.96,1
21-03-2018 07:20:00,53.91,25.32,47.7,29.77,41.79,30.21,50.85,27.9,1
21-03-2018 07:19:00,54.14,25.22,47.83,29.81,41.85,30.42,51.05,27.73,1
21-03-2018 07:18:00,54.49,24.94,47.96,29.32,41.97,30.12,51.3,27.8,1
21-03-2018 07:17:00,54.87,24.69,48.03,29.96,41.79,30.31,51.47,27.53,1
21-03-2018 07:16:00,55.11,24.81,47.83,29.6,41.35,30.38,51.51,27.71,1
21-03-2018 07:15:00,55.49,24.59,47.97,29.39,41.49,30.26,51.83,27.55,1
21-03-2018 07:14:00,56.26,24.14,48.28,29.55,41.52,30.43,52.28,27.32,1
21-03-2018 07:13:00,57.07,24.15,48.62,29.18,41.68,30.38,52.82,27.19,1
21-03-2018 07:12:00,57.8,23.67,48.82,29.16,41.82,30.44,53.2,26.93,1
21-03-2018 07:11:00,58.53,23.39,49.2,29.37,42.09,30.32,53.74,26.61,1
21-03-2018 07:10:00,59.78,22.98,49.44,28.72,42.09,30.27,54.33,26.19,1
21-03-2018 07:09:00,62,21.79,49.56,28.59,42.03,30.51,54.97,25.63,1
21-03-2018 07:08:00,62.08,21.03,49.45,28.37,42.32,30.45,54.83,25.7,1
21-03-2018 07:07:00,60.54,21.14,49.25,29.29,42.84,30.48,54.18,25.69,1
21-03-2018 07:06:00,58.51,21.41,48.75,28.62,42.9,30.4,53.18,25.82,1
