22.6,744.4,28.55733,28.26567,28.48952,30.36133,OFF
22.7,745.6,28.57767,28.32867,28.51633,30.161,OFF
22.8,755.6,28.606,28.35733,28.54529,30.31233,OFF
23.4,763.1,28.67033,28.4,28.57639,30.21367,OFF
23.7,760.6,28.74867,28.42267,28.62573,30.35767,OFF
23.6,759.4,28.75933,28.46233,28.66648,30.353,OFF
22.6,784.4,28.76133,28.495,28.70367,30.20933,No_F
21.9,805.6,29.079,28.45667,28.38048,30.067,No_F
21.5,795.6,30.32267,26.65467,25.02782,27.31033,No_F
21.7,805.6,30.35733,24.74733,22.8828,25.76967,No_F
21.8,823.1,30.489,23.82767,21.93506,25.06,No_F
21.5,815.6,30.39367,23.40767,21.53108,24.72367,No_F
21.2,819.4,30.58,23.18667,21.31157,24.574,No_F
20.8,821.9,30.94467,23.032,21.12638,24.53367,No_F
20.8,828.1,30.77167,22.832,20.89973,24.37467,No_F
21,833.1,30.62067,22.56167,20.603,24.12167,No_F
20.4,843.1,30.713,22.305,20.29984,23.94,No_F
20.8,825.6,30.46233,22.02567,20.03743,23.67867,No_F
20.6,841.9,30.678,21.811,19.79826,23.53167,No_F
20.6,815.6,30.81633,21.76,19.75643,23.51467,No_F
20.7,836.9,30.60667,21.77567,19.79147,23.48433,No_F
20.5,838.1,30.69733,21.83933,19.8862,23.566,No_F
20.6,823.1,30.74767,21.91833,19.96736,23.623,No_F
19.8,834.4,31.162,22.08133,20.12394,23.816,No_F
19.3,831.9,30.88933,22.10033,20.13717,,No_F
18.9,825.6,31.05033,21.95633,19.93518,23.713,No_F
18.4,826.9,31.02567,21.83233,19.79647,23.63267,No_F
18.4,809.4,31.049,21.65,19.5666,23.47633,No_F
18.4,811.9,30.954,21.44867,19.35388,23.32467,No_F
18.1,806.9,31.12,21.328,19.23555,23.23467,No_F
17.8,798.1,30.93567,22.41166,19.27845,22.05633,F1
17.7,784.4,30.87267,24.56933,19.40465,20.56533,F1
18.1,779.4,30.72167,24.69133,19.53085,20.63267,F1
18.1,773.1,30.62733,24.702,19.63667,20.70933,F1
17.8,769.4,30.646,24.72733,19.72032,20.787,F1
18,744.4,30.657,24.69767,19.65204,20.73267,F1
18,750.6,30.97833,24.66333,19.47865,20.58733,F1
17.4,729.4,31.10467,24.59967,19.32064,20.452,F1
17.8,716.9,31.32933,24.59,19.19801,20.346,F1
18.8,709.4,30.98267,24.465,19.14581,20.26233,F1
19.3,684.4,30.91733,24.42367,19.17549,20.286,F1
18.6,681.9,30.81233,24.45367,19.2806,20.37767,F1
18.1,683.1,30.70333,24.447,19.36997,20.45033,F1
17.9,666.9,30.99667,24.60667,19.52656,20.606,F1
17.6,648.1,30.75267,24.60467,19.58304,20.65133,F1
17.2,653.1,30.40433,24.56267,19.81149,20.91967,F1
16.7,634.4,29.20067,25.52433,21.42132,22.64267,F1
17.3,624.4,29.62733,25.72833,21.98153,22.96867,F1
17.6,616.9,30.728,25.33533,20.60943,21.64667,F1
17.8,600.6,30.84333,24.98167,20.05459,,F1
17.4,575.6,30.82267,24.78533,19.76215,20.84133,F1
18.2,549.4,30.873,24.63267,19.53943,20.63567,F1
18.3,530.6,30.81367,24.507,19.33493,20.44667,F1
17.7,514.4,30.75333,24.383,19.17477,20.298,F1
17.2,520.6,30.60833,24.23367,18.96599,20.096,F1
16.9,503.1,30.31867,24.052,18.86768,19.97833,F1
17.1,485.6,30.42667,24.081,18.93167,20.02933,F1
18.3,461.9,30.57333,24.18067,19.0568,20.14733,F1
18.7,445.6,30.60933,24.29133,19.21088,20.303,F1
18.2,426.9,30.454,24.36533,19.39786,20.45867,F1
17.7,419.4,30.67133,24.49233,19.53263,,F1
17.3,398.1,30.73767,24.54033,19.49796,20.583,F1
17.3,383.1,30.658,24.47567,19.38105,20.478,F1
17.3,374.4,30.37567,24.30733,19.23054,20.321,F1
17.2,359.4,30.39667,24.202,19.06466,20.176,F1
17,334.4,30.23767,24.05633,18.87805,19.999,F1
17,315.6,30.31667,23.95133,18.7447,19.86467,F1
16.9,295.6,30.147,23.937,18.78259,,F1
16.9,281.9,29.98733,23.92467,18.88627,19.97233,F1
16.8,264.4,30.014,23.98667,18.99674,20.07567,F1
16.7,253.1,30.08834,24.083,19.12436,20.19367,F1
16.6,239.4,30.11933,24.18433,19.26129,20.33067,F1
16.8,219.4,30.12533,24.221,19.2806,20.355,F1
17,198.1,30.05467,24.17567,19.18443,20.276,F1
17.1,185.6,30.068,24.11133,19.06323,20.17333,F1
17.3,165.6,29.87667,23.948,18.89521,20.00267,F1
17.4,149.4,29.94367,23.85167,18.73647,19.85067,F1
17.3,136.9,29.79467,23.72967,18.59097,19.711,F1
17.5,118.1,29.77467,23.57967,18.59848,19.85967,F1
17.5,101.9,29.71833,20.98,18.65139,22.255,No_F
17.8,84.4,29.73567,20.75233,18.73504,22.38933,No_F
18,70.6,29.653,20.836,18.8566,22.49467,No_F
18.1,55.6,29.48267,20.92967,18.97779,22.561,No_F
18.6,41.9,29.646,21.02233,19.06788,22.681,No_F
18.9,30.6,29.595,21.00933,19.01497,22.679,No_F
19,20.6,29.498,20.89967,18.86875,22.57633,No_F
19,13.1,29.468,20.754,18.70037,22.46133,No_F
19.2,8.1,29.339,20.59167,18.52519,22.31467,No_F
19.2,3.1,29.188,20.43667,18.36396,22.16867,No_F
19,1.9,29.093,20.38667,18.34394,22.10534,No_F
19.1,0.6,28.93367,20.43267,18.4115,22.109,No_F
19.1,0.6,28.817,20.50133,18.48515,22.14267,No_F
