"Timestamp","EX2_FAN_IN_RH_ITL","EX2_FAN_OUT_RH_ITL","FA2_FAN_IN_RH_ITL","FA2_FAN_OUT_RH_ITL"
"21-03-2018 03:32:00","44.44","35.69","44.08","43.71"
"21-03-2018 03:31:00","43.87","35.55","44.01","43.71"
"21-03-2018 03:30:00","43.45","35.69","44.15","43.67"
"21-03-2018 03:29:00","45.31","36.08","44.35","44.58"
"21-03-2018 03:28:00","46.19","36.05","44.22","44.58"
"21-03-2018 03:27:00","46.16","35.77","44.08","44.58"
"21-03-2018 03:26:00","46.40","35.72","43.98","44.58"
"21-03-2018 03:25:00","46.34","36.12","44.15","44.72"
"21-03-2018 03:24:00","46.51","35.65","43.88","44.51"
"21-03-2018 03:23:00","46.62","35.85","43.98","44.58"
"21-03-2018 03:22:00","46.89","35.79","44.01","44.70"
"21-03-2018 03:21:00","46.86","35.98","44.01","44.70"
"21-03-2018 03:20:00","46.89","35.79","43.88","44.50"
"21-03-2018 03:19:00","46.90","35.44","43.67","44.50"
"21-03-2018 03:18:00","47.18","35.50","43.80","44.63"
"21-03-2018 03:17:00","47.33","35.50","43.66","44.67"
"21-03-2018 03:16:00","47.57","35.23","43.63","44.67"
"21-03-2018 03:15:00","47.89","35.29","43.63","44.74"
"21-03-2018 03:14:00","48.16","35.29","43.60","44.82"
"21-03-2018 03:13:00","48.60","34.92","43.56","44.89"
"21-03-2018 03:12:00","48.92","35.16","43.56","45.00"
"21-03-2018 03:11:00","49.31","35.16","43.56","45.10"
"21-03-2018 03:10:00","49.72","35.01","43.49","45.08"
"21-03-2018 03:09:00","50.56","34.94","43.49","-6.00"
"21-03-2018 03:08:00","51.05","34.41","43.56","45.39"
"21-03-2018 03:07:00","51.77","34.41","43.39","45.34"
"21-03-2018 03:06:00","51.51","34.66","43.49","45.20"
"21-03-2018 03:05:00","47.40","35.01","43.73","44.25"
"21-03-2018 03:04:00","46.78","35.41","43.96","44.38"
"21-03-2018 03:03:00","46.38","35.55","44.01","44.24"
"21-03-2018 03:02:00","45.89","35.77","44.05","44.20"
"21-03-2018 03:01:00","45.43","35.03","43.81","43.71"
"21-03-2018 03:00:00","44.99","35.31","43.88","43.80"
"21-03-2018 02:59:00","44.56","36.05","44.09","43.86"
"21-03-2018 02:58:00","44.12","35.82","44.16","43.78"
"21-03-2018 02:57:00","44.38","35.82","44.09","43.84"
"21-03-2018 02:56:00","45.95","35.65","43.96","44.28"
"21-03-2018 02:55:00","45.82","35.72","43.96","44.25"
"21-03-2018 02:54:00","45.79","35.28","43.75","44.04"
"21-03-2018 02:53:00","45.73","35.10","43.65","43.90"
"21-03-2018 02:52:00","45.83","34.61","43.48","43.80"
"21-03-2018 02:51:00","45.88","34.61","43.54","43.78"
"21-03-2018 02:50:00","46.06","34.31","43.44","43.78"
"21-03-2018 02:49:00","46.60","34.44","43.54","44.16"
"21-03-2018 02:48:00","46.80","34.99","43.71","44.32"
"21-03-2018 02:47:00","47.25","34.72","43.51","44.43"
"21-03-2018 02:46:00","47.57","35.26","43.67","44.67"
"21-03-2018 02:45:00","47.64","35.50","43.67","44.74"
"21-03-2018 02:44:00","47.77","35.16","43.54","44.61"
"21-03-2018 02:43:00","47.83","35.02","43.51","44.51"
"21-03-2018 02:42:00","48.11","34.60","43.37","44.48"
"21-03-2018 02:41:00","48.58","34.47","43.36","44.58"
"21-03-2018 02:40:00","49.00","34.47","43.36","44.66"
"21-03-2018 02:39:00","49.49","34.73","43.39","44.83"
"21-03-2018 02:38:00","50.47","34.33","43.39","45.12"
"21-03-2018 02:37:00","51.26","34.80","43.39","45.25"
"21-03-2018 02:36:00","51.86","35.08","43.58","45.39"
"21-03-2018 02:35:00","51.22","34.86","43.51","44.07"
"21-03-2018 02:34:00","48.57","34.31","43.31","44.07"
"21-03-2018 02:33:00","47.98","33.70","43.28","43.72"
"21-03-2018 02:32:00","47.42","34.08","43.28","43.71"
"21-03-2018 02:31:00","46.77","33.48","43.14","43.39"
"21-03-2018 02:30:00","46.17","34.17","43.30","43.48"
"21-03-2018 02:29:00","45.57","33.54","43.13","43.13"
"21-03-2018 02:28:00","45.11","33.07","42.86","42.85"
"21-03-2018 02:27:00","44.67","32.99","42.76","42.81"
"21-03-2018 02:26:00","45.03","32.70","42.72","42.97"
"21-03-2018 02:25:00","45.84","33.19","42.79","43.34"
"21-03-2018 02:24:00","46.19","33.15","0.00","43.48"
"21-03-2018 02:23:00","46.23","33.35","42.96","43.52"
"21-03-2018 02:22:00","46.27","33.23","42.89","43.52"
"21-03-2018 02:21:00","46.41","32.63","42.83","43.36"
"21-03-2018 02:20:00","46.69","32.83","42.83","43.51"
"21-03-2018 02:19:00","47.24","32.75","42.76","43.75"
"21-03-2018 02:18:00","47.35","32.83","42.68","43.78"
"21-03-2018 02:17:00","47.70","32.93","42.61","43.96"
"21-03-2018 02:16:00","48.24","33.54","42.71","44.42"
"21-03-2018 02:15:00","48.56","33.24","42.65","44.49"
"21-03-2018 02:14:00","48.71","33.40","42.74","44.54"
"21-03-2018 02:13:00","49.08","33.30","42.74","44.65"
"21-03-2018 02:12:00","49.60","33.14","42.54","44.83"
"21-03-2018 02:11:00","50.41","33.44","42.48","45.35"
"21-03-2018 02:10:00","51.17","33.68","42.63","45.86"
"21-03-2018 02:09:00","52.33","34.41","42.63","46.76"
"21-03-2018 02:08:00","52.86","35.61","42.93","47.70"
"21-03-2018 02:07:00","53.51","36.02","42.97","0.00"
"21-03-2018 02:06:00","54.30","37.46","43.19","51.40"
"21-03-2018 02:05:00","55.39","39.14","43.51","51.40"
"21-03-2018 02:04:00","56.10","41.12","43.54","53.19"
"21-03-2018 02:03:00","55.74","43.38","43.47","54.38"
"21-03-2018 02:02:00","54.49","43.21","43.91","52.50"
"21-03-2018 02:01:00","53.79","42.63","43.81","51.88"
"21-03-2018 02:00:00","53.70","42.39","43.37","51.76"
"21-03-2018 01:59:00","53.56","42.20","43.46","0.00"
"21-03-2018 01:58:00","53.32","41.93","42.85","51.37"
"21-03-2018 01:57:00","53.00","41.78","43.18","51.16"
"21-03-2018 01:56:00","52.76","41.56","43.07","50.93"
"21-03-2018 01:55:00","52.23","41.21","42.90","50.57"
"21-03-2018 01:54:00","51.87","41.13","43.09","50.40"
"21-03-2018 01:53:00","51.54","41.11","43.33","50.39"
"21-03-2018 01:52:00","51.27","41.10","43.23","50.34"
"21-03-2018 01:51:00","51.29","41.23","43.30","50.61"
"21-03-2018 01:50:00","51.32","41.37","43.61","50.75"
"21-03-2018 01:49:00","51.33","41.30","43.42","50.72"
"21-03-2018 01:48:00","51.38","41.37","43.18","50.82"
"21-03-2018 01:47:00","51.47","41.34","43.27","50.82"
"21-03-2018 01:46:00","51.56","41.38","43.10","50.89"
"21-03-2018 01:45:00","51.56","41.52","43.35","51.02"
"21-03-2018 01:44:00","51.68","41.59","43.48","51.06"
"21-03-2018 01:43:00","51.71","41.66","43.42","51.30"
"21-03-2018 01:42:00","51.86","41.76","43.35","51.30"
"21-03-2018 01:41:00","51.95","41.84","43.65","51.38"
"21-03-2018 01:40:00","52.04","41.99","43.65","51.47"
"21-03-2018 01:39:00","52.16","42.12","43.80","51.59"
"21-03-2018 01:38:00","52.40","42.10","43.04","51.81"
"21-03-2018 01:37:00","52.54","42.30","43.31","51.95"
"21-03-2018 01:36:00","52.66","42.34","43.11","52.20"
"21-03-2018 01:35:00","52.90","42.45","43.14","52.20"
"21-03-2018 01:34:00","53.14","42.57","43.14","52.32"
"21-03-2018 01:33:00","53.58","42.71","42.79","52.59"
"21-03-2018 01:32:00","54.08","42.86","42.76","52.30"
"21-03-2018 01:31:00","54.20","42.60","43.00","52.30"
"21-03-2018 01:30:00","53.62","42.09","43.00","51.77"
"21-03-2018 01:29:00","53.33","41.78","42.90","51.50"
"21-03-2018 01:28:00","52.94","41.54","43.11","51.14"
"21-03-2018 01:27:00","52.42","41.14","43.14","50.68"
"21-03-2018 01:26:00","52.06","40.87","42.93","50.33"
"21-03-2018 01:25:00","51.68","40.65","43.11","49.92"
"21-03-2018 01:24:00","51.14","40.53","43.14","49.40"
"21-03-2018 01:23:00","50.83","41.04","43.11","49.17"
"21-03-2018 01:22:00","50.92","42.11","43.13","50.02"
"21-03-2018 01:21:00","51.07","42.30","43.10","50.23"
"21-03-2018 01:20:00","51.38","42.47","43.13","50.06"
"21-03-2018 01:19:00","51.36","42.40","42.89","50.00"
"21-03-2018 01:18:00","51.39","42.38","42.65","49.96"
"21-03-2018 01:17:00","51.53","42.45","42.55","49.96"
"21-03-2018 01:16:00","51.59","42.58","42.67","50.00"
"21-03-2018 01:15:00","51.77","42.74","42.77","50.06"
"21-03-2018 01:14:00","51.86","42.76","42.84","50.00"
"21-03-2018 01:13:00","52.04","42.93","43.04","50.00"
"21-03-2018 01:12:00","52.13","42.99","43.11","49.86"
"21-03-2018 01:11:00","52.31","43.10","43.42","49.82"
"21-03-2018 01:10:00","52.49","43.17","43.14","49.72"
"21-03-2018 01:09:00","52.69","43.25","43.28","49.52"
"21-03-2018 01:08:00","52.95","43.35","43.21","0.00"
"21-03-2018 01:07:00","53.25","43.56","43.35","49.27"
"21-03-2018 01:06:00","53.46","43.64","43.18","49.10"
"21-03-2018 01:05:00","53.64","43.67","43.14","48.34"
"21-03-2018 01:04:00","53.72","43.55","43.11","48.34"
"21-03-2018 01:03:00","53.14","43.24","43.07","48.95"
"21-03-2018 01:02:00","53.14","43.37","43.00","49.32"
"21-03-2018 01:01:00","53.14","43.33","43.00","49.59"
"21-03-2018 01:00:00","53.08","43.39","43.04","49.90"
"21-03-2018 12:59:00","53.05","43.56","43.56","50.13"
"21-03-2018 12:58:00","52.90","43.51","43.84","50.27"
"21-03-2018 12:57:00","52.75","43.51","44.01","50.64"
"21-03-2018 12:56:00","52.69","43.64","44.25","50.98"
"21-03-2018 12:55:00","52.62","43.76","44.35","51.43"
"21-03-2018 12:54:00","52.65","43.87","44.99","51.79"
"21-03-2018 12:53:00","52.65","43.96","44.97","51.79"
"21-03-2018 12:52:00","53.01","44.25","44.99","51.99"
"21-03-2018 12:51:00","53.07","44.32","45.20","51.91"
"21-03-2018 12:50:00","53.12","44.35","45.30","51.85"
"21-03-2018 12:49:00","53.12","44.36","45.45","51.82"
"21-03-2018 12:48:00","53.15","44.43","45.38","51.88"
"21-03-2018 12:47:00","53.36","44.57","45.38","51.91"
"21-03-2018 12:46:00","53.42","44.64","45.58","51.82"
"21-03-2018 12:45:00","53.48","44.61","45.77","51.82"
"21-03-2018 12:44:00","53.62","44.67","45.51","51.88"
"21-03-2018 12:43:00","53.66","44.74","45.61","51.72"
"21-03-2018 12:42:00","53.84","44.79","45.37","51.55"
"21-03-2018 12:41:00","53.95","44.83","45.37","51.49"
"21-03-2018 12:40:00","54.22","44.90","45.37","51.33"
"21-03-2018 12:39:00","54.28","44.91","45.61","51.10"
"21-03-2018 12:38:00","54.31","44.77","45.32","50.72"
"21-03-2018 12:37:00","54.58","44.82","45.19","50.44"
"21-03-2018 12:36:00","54.29","44.51","45.12","49.66"
"21-03-2018 12:35:00","53.64","44.28","44.92","50.87"
"21-03-2018 12:34:00","53.37","43.77","44.85","50.87"
"21-03-2018 12:33:00","53.00","43.77","44.78","50.64"
"21-03-2018 12:32:00","52.70","43.47","44.71","50.60"
"21-03-2018 12:31:00","52.40","43.26","44.38","50.44"
"21-03-2018 12:30:00","52.14","43.15","44.10","50.65"
"21-03-2018 12:29:00","51.99","43.04","44.03","50.65"
"21-03-2018 12:28:00","51.75","42.97","43.96","50.90"
"21-03-2018 12:27:00","51.92","43.16","43.96","51.10"
"21-03-2018 12:26:00","52.07","43.32","43.92","51.24"
"21-03-2018 12:25:00","52.30","43.51","44.03","51.40"
"21-03-2018 12:24:00","52.74","43.89","44.14","51.50"
"21-03-2018 12:23:00","52.77","43.93","44.21","51.50"
"21-03-2018 12:22:00","52.98","44.06","44.21","51.55"
"21-03-2018 12:21:00","53.07","44.17","44.38","51.55"
"21-03-2018 12:20:00","53.21","44.31","44.45","51.67"
